CID,Bin,Smiles,MW,RotBonds,TPSA,HAcceptors,HDonors,cLogP,AromaticRings,TotalRings,Heterocycles,NumF,NumCl,ChiralCenters,QED
63,CID_10_100,CC([NH+])CC(N)C(=O)O,131.08150401209,3,87.12,2,2,-2.009599999999999,0,0,0,0,0,2,0.4636465439609207
62,CID_10_100,OC1C=C(Cl)C(Cl)C=C1Cl,197.94059782,0,20.23,1,1,2.2137000000000002,0,1,0,0,3,2,0.5932587191693156
87,CID_10_100,CC(CO)C(=O)O,104.047344116,2,57.53,2,2,-0.30060000000000026,0,0,0,0,0,1,0.5052949288520385
67,CID_10_100,O=C(O)C(=O)C(O)C(O)C(=O)CO,192.027002596,5,132.13,6,4,-3.076700000000001,0,0,0,0,0,2,0.3393995979319587
53,CID_10_100,CC(=O)C(C)C(=O)SCC[NH+]C(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,865.1514398140899,21,384.27,20,9,-2.350599999999993,2,3,3,0,0,8,0.036017718945530595
17,CID_10_100,O=C(O)C1=NC(C(=O)O)CC=C1,169.037507704,2,86.96,3,2,-0.07490000000000019,0,1,1,0,0,1,0.605031759296439
35,CID_10_100,O=C(O)CC1(Cl)C=CC(=O)O1,175.98763632,2,63.599999999999994,3,1,0.5092000000000001,0,1,1,0,1,1,0.49194677396331116
57,CID_10_100,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1[O-],637.53539040791,23,23.06,1,0,14.354399999999968,1,1,0,0,0,0,0.10948998644243263
74,CID_10_100,CC(=O)CC(=O)SCC[NH+]C(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,851.1357897500899,21,384.27,20,9,-2.5965999999999934,2,3,3,0,0,7,0.035316369540161444
11,CID_10_100,ClCCCl,97.969005488,1,0.0,0,0,1.464,0,0,0,0,2,0,0.4363042365257152
92,CID_10_100,C=CC1(O)C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,341.18596908009,4,67.02000000000001,4,3,0.8710000000000004,2,5,4,0,0,5,0.7222349565619279
78,CID_10_100,[NH+]C(CCl)C(=O)O,122.00033250009,2,61.10000000000001,1,1,-1.5081000000000002,0,0,0,0,1,1,0.45303289856067225
52,CID_10_100,CC(O)C(C)C(=O)SCC[NH+]C(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,867.1670898780899,21,387.42999999999995,20,10,-2.5587999999999926,2,3,3,0,0,9,0.04555743947202533
19,CID_10_100,O=C(O)c1cccc(O)c1O,154.026608672,1,77.76,3,3,0.7959999999999998,1,1,0,0,0,0,0.5224912248827285
76,CID_10_100,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,288.208930136,0,37.3,2,1,3.8792000000000026,0,4,0,0,0,6,0.6868426969908572
