CID,Bin,Creation_Date,Temporal_Period,Scraped_At
63,CID_10_100,,1996-2000,2025-08-30T09:12:16.602128
62,CID_10_100,,1996-2000,2025-08-30T09:12:29.626297
87,CID_10_100,,1996-2000,2025-08-30T09:12:42.726435
67,CID_10_100,,1996-2000,2025-08-30T09:12:55.839679
53,CID_10_100,,1996-2000,2025-08-30T09:13:08.861605
17,CID_10_100,,1996-2000,2025-08-30T09:13:32.811297
35,CID_10_100,,1996-2000,2025-08-30T09:13:45.740034
57,CID_10_100,,1996-2000,2025-08-30T09:13:58.636050
74,CID_10_100,,1996-2000,2025-08-30T09:14:11.697935
11,CID_10_100,,1996-2000,2025-08-30T09:14:25.103117
92,CID_10_100,,1996-2000,2025-08-30T09:14:38.051567
78,CID_10_100,,1996-2000,2025-08-30T09:14:51.164190
52,CID_10_100,,1996-2000,2025-08-30T09:15:04.192782
19,CID_10_100,,1996-2000,2025-08-30T09:15:27.646875
76,CID_10_100,,1996-2000,2025-08-30T09:15:42.221738
13,CID_10_100,,1996-2000,2025-08-30T09:15:55.673365
80,CID_10_100,,1996-2000,2025-08-30T09:16:09.873884
73,CID_10_100,,1996-2000,2025-08-30T09:16:23.052891
31,CID_10_100,,1996-2000,2025-08-30T09:16:36.020254
12,CID_10_100,,1996-2000,2025-08-30T09:16:48.989800
83,CID_10_100,,1996-2000,2025-08-30T09:17:02.146787
90,CID_10_100,,1996-2000,2025-08-30T09:17:15.106056
60,CID_10_100,,1996-2000,2025-08-30T09:17:28.547305
94,CID_10_100,,1996-2000,2025-08-30T09:17:42.858089
54,CID_10_100,,1996-2000,2025-08-30T09:17:55.830777
56,CID_10_100,,1996-2000,2025-08-30T09:18:08.657204
51,CID_10_100,,1996-2000,2025-08-30T09:18:23.242393
23,CID_10_100,,1996-2000,2025-08-30T09:18:37.657749
85,CID_10_100,,1996-2000,2025-08-30T09:18:50.697910
36,CID_10_100,,1996-2000,2025-08-30T09:19:03.721440
66,CID_10_100,,1996-2000,2025-08-30T09:19:16.854771
47,CID_10_100,,1996-2000,2025-08-30T09:19:36.599574
26,CID_10_100,,1996-2000,2025-08-30T09:19:59.774849
72,CID_10_100,,1996-2000,2025-08-30T09:20:13.125818
41,CID_10_100,,1996-2000,2025-08-30T09:20:48.139891
58,CID_10_100,,1996-2000,2025-08-30T09:21:01.435282
55,CID_10_100,,1996-2000,2025-08-30T09:21:14.253785
59,CID_10_100,,1996-2000,2025-08-30T09:21:43.738596
97,CID_10_100,,1996-2000,2025-08-30T09:21:56.671845
30,CID_10_100,,1996-2000,2025-08-30T09:22:09.683162
70,CID_10_100,,1996-2000,2025-08-30T09:22:22.912139
